# Statue 3D Reconstruction
# X Y Z coordinates
-0.266479 -0.437957 0.733257
-3.689672 -1.106702 7.278901
-3.014453 -1.243703 7.308930
-3.710820 0.740561 7.559736
-0.348812 0.244335 1.908764
-1.493292 1.566300 2.732123
-2.724714 -1.190134 5.303224
-1.532462 1.184496 3.093167
-0.153607 0.895954 1.560592
0.045768 -0.846129 2.764658
-3.696749 1.113188 4.659272
-1.951155 1.668571 3.841336
-3.961407 1.408593 7.724239
-0.749390 -0.492267 1.284735
-1.131779 -0.777142 3.452012
