# Statue 3D Reconstruction
# X Y Z coordinates
-3.825385 3.070040 7.245821
-2.446215 2.907639 7.226595
-0.726328 3.465204 6.430607
-3.128505 0.115245 4.733672
-6.964661 -2.153805 13.967945
-7.005533 -2.299833 14.237525
-1.047106 3.496202 6.209833
2.028780 1.235859 3.653179
-5.276017 -3.049343 11.774525
-5.589171 -2.886322 11.715196
-3.243248 3.399001 5.929400
0.713788 3.063528 5.475308
0.693446 3.134455 5.262976
-0.641074 3.164247 5.667187
-0.644504 3.158318 5.659540
-5.604180 -2.880538 11.731832
-5.678732 -2.656672 11.994961
-0.608618 3.206048 5.356866
0.530371 3.064565 5.123045
-3.326473 3.304575 6.019812
-5.841256 -3.038943 11.854541
0.661528 3.053915 5.583964
-6.400574 -2.539767 12.091500
-6.395094 -2.534382 12.049695
-0.394159 0.423014 3.402199
-5.428509 -2.813608 12.020427
-5.600065 -2.876488 11.689611
0.528346 3.043609 5.097914
-5.700553 -2.831599 11.672803
-3.392650 1.977546 6.660479
-6.132213 -2.784604 12.124738
-3.656158 3.466113 5.837851
-0.320511 0.834917 3.193036
-0.561204 3.181512 5.572346
0.679877 3.065207 5.539231
-0.898221 3.036698 5.828489
-0.320388 0.832811 3.189261
-0.547607 3.195733 5.566404
-5.437774 -2.816817 12.036555
0.712962 3.063426 5.476802
-6.381777 -2.530265 12.023503
-0.641546 3.162969 5.665494
-0.645391 3.163188 5.665887
-6.593533 -2.957582 11.854376
1.544360 -0.860671 3.378204
-5.482313 -3.002321 11.752269
0.690702 3.120979 5.246581
-5.825672 -3.033885 11.826558
-0.588480 3.171972 5.600484
-5.217258 -2.851082 12.021416
-6.235199 -2.596938 12.019324
-3.320881 3.297647 6.009371
-3.403571 1.975762 6.660835
-6.134097 -2.796083 12.148411
-3.387816 1.972390 6.649280
-6.491354 -1.372570 12.489745
-5.683368 -2.825853 11.637953
0.657882 3.092694 5.233090
-5.673262 -2.656526 11.981326
-6.270052 -2.920884 11.804224
-0.547338 3.205917 5.579348
-0.641682 3.162696 5.662150
-3.329209 3.306047 6.019336
-0.874404 3.043947 5.823544
-5.691554 -2.861018 11.702354
-0.394085 0.426274 3.405312
1.545318 -0.860623 3.379935
-0.651623 3.152150 5.651812
-6.372924 -2.773084 11.686605
-5.284400 -3.056343 11.789267
-5.552016 -2.874815 11.633875
-6.445011 -2.770551 11.946808
-6.392185 -2.537237 12.073845
-0.642387 3.162638 5.662047
-0.873505 3.040282 5.817471
-0.545758 3.204028 5.574420
-5.861703 -3.046045 11.887276
-2.716598 0.210855 4.476094
-5.288969 -3.022848 11.723943
-0.876154 3.048760 5.829161
-5.444612 -3.028987 11.746605
-5.544438 -2.875347 11.617413
-6.235958 -2.600536 12.011240
-1.763235 -1.491766 6.337939
-6.400081 -2.756849 11.866529
-2.152922 -0.528668 6.426865
-0.564329 3.200630 5.587222
-5.383741 -3.068660 11.874503
-6.488517 -2.758245 12.029563
-3.257878 3.411810 5.943624
-6.318205 -2.814430 11.776675
-0.874351 3.033410 5.807886
-6.508173 -2.768141 12.059636
-5.846498 -3.038269 11.845057
-1.974330 2.518989 6.569506
-6.248867 -2.606212 12.020493
-6.923197 4.275180 12.716029
-6.201929 -2.718552 12.052301
-1.972732 2.513193 6.554329
-0.562033 3.184308 5.562512
-6.502138 -2.765763 12.037429
-0.884646 3.062469 5.842637
-6.450336 -2.769351 11.944986
-6.213112 -2.593320 11.940882
-2.876585 0.304686 4.196639
-3.708696 3.251559 7.366177
-7.336506 -5.000083 12.773882
2.595525 -0.202780 3.176198
-7.281979 -4.994167 12.711169
-7.431609 -4.804892 12.634520
1.154294 0.293948 3.579255
-7.250836 -5.098683 12.805074
-7.623929 -3.582977 13.544254
-6.427750 -5.111583 12.669618
-3.624179 3.386908 7.313498
-7.663453 -3.608155 13.639012
-7.019553 -5.130487 12.800111
-7.142937 2.151756 9.005456
-4.089584 3.493574 7.228136
1.306572 0.560383 3.474931
1.154776 0.296069 3.578953
-3.744973 3.210880 7.381859
-3.761193 3.216970 7.405816
-0.318184 1.193138 3.576816
-7.520981 -4.784796 12.771189
-7.197149 -5.091786 12.740995
-7.702735 -3.070254 13.696929
-7.651265 -3.603416 13.617999
-2.236731 3.573875 6.462570
-1.700136 -0.097182 4.426358
-7.634359 -3.588896 13.563210
-7.147320 2.153425 9.009954
1.536847 0.323663 3.201184
-3.764334 2.323561 7.888653
-7.276440 -4.990850 12.700887
-7.183250 -5.083773 12.716474
-6.528018 -4.958522 12.602755
-7.568071 -5.001775 12.538048
-3.720965 3.260647 7.382391
-3.753344 3.220721 7.397981
-3.614264 3.373702 7.283575
-7.248635 -5.097853 12.792058
-6.579808 -4.965211 12.660434
-3.711043 3.251514 7.363151
-7.328746 -4.995696 12.746343
-7.724288 -3.074223 13.735767
-3.617454 3.376433 7.286751
1.374539 0.070725 3.493955
1.304883 0.559037 3.471213
1.369707 0.066982 3.482176
-7.317129 -4.990349 12.726512
-7.587437 -5.011992 12.567073
-7.709005 -3.070340 13.718049
-2.934246 0.285755 4.812797
1.304607 0.558064 3.469162
-7.599969 -5.018713 12.587755
-2.933644 0.285066 4.809919
-7.709380 -3.068455 13.718138
-7.368901 -4.858860 12.721444
-2.451431 -1.077952 6.788417
-2.290435 -1.467143 6.632239
-3.200177 0.418834 4.548641
-2.615175 -0.691064 6.939487
-3.087797 0.525718 4.476538
-7.351314 -4.842303 12.675252
